CountryName,CountryCode,Date,PolicyType,PolicyValue,Flag,Notes
Argentina,ARG,20200401,C1: School closing,3,1,"Schools were initially closing for 14 days, starting on the March 16. However, the ""social, preventive and mandatory isolation"" has been extended to April 12, so school canteens are only open for specific people rely on it. https://www.argentina.gob.ar/coronavirus/aislamiento https://www.argentina.gob.ar/noticias/coronavirus-suspension-de-clases-presenciales-14-dias-consecutivos-partir-del-16-de-marzo"
Argentina,ARG,20200401,C7: Restrictions on internal movement,2,1,"National Government extends social, preventive and compulsory isolation until April 12, 2020. https://www.boletinoficial.gob.ar/suplementos/2020033101NS.pdf"
Argentina,ARG,20200403,H1: Public information campaigns,2,1,"https://www.youtube.com/user/MsalNacion  https://web.archive.org/save/https://www.youtube.com/watch?v=2a4o9j_D-xs  https://www.instagram.com/msalnacion/  https://www.argentina.gob.ar/coronavirus/informe-diario"
Argentina,ARG,20200407,C1: School closing,3,1,"https://web.archive.org/web/20200408141330/https://www.argentina.gob.ar/noticias/trotta-reafirma-que-continua-la-educacion-distancia"
Argentina,ARG,20200409,C1: School closing,3,1,"https://web.archive.org/web/20200412083111/https://www.argentina.gob.ar/coronavirus/aislamiento"
Argentina,ARG,20200409,C7: Restrictions on internal movement,2,1,"https://web.archive.org/web/20200412083111/https://www.argentina.gob.ar/coronavirus/aislamiento"
Argentina,ARG,20200409,H1: Public information campaigns,2,1,"https://www.youtube.com/user/MsalNacion   https://web.archive.org/save/https://www.youtube.com/watch?v=2a4o9j_D-xs   https://www.instagram.com/msalnacion/   https://www.argentina.gob.ar/coronavirus/informe-diario"
Argentina,ARG,20200411,C1: School closing,3,1,"https://web.archive.org/web/20200412083111/https://www.argentina.gob.ar/coronavirus/aislamiento Although a number of commerces have been allowed to restablish their activities, they still have to do so with a special permit and only via door-to-door delivery. https://web.archive.org/web/20200412083903/https://www.boletinoficial.gob.ar/detalleAviso/primera/227696/20200411"
Argentina,ARG,20200412,C1: School closing,3,1,"Source: https://en.unesco.org/covid19/educationresponse"
Argentina,ARG,20200412,C7: Restrictions on internal movement,2,1,"National Government extends social, preventive and compulsory isolation until April 26, 2020. Source: https://web.archive.org/web/20200423150743/https://www.boletinoficial.gob.ar/detalleAviso/primera/227694/20200411"
Argentina,ARG,20200412,H2: Testing policy,1,,"All suspect cases will be tested: https://web.archive.org/web/20200408121824/https://www.argentina.gob.ar/salud/coronavirus-COVID-19/laboratorio   Suspect case definition: https://www.argentina.gob.ar/salud/coronavirus-COVID-19/definicion-de-caso"
Argentina,ARG,20200413,H1: Public information campaigns,2,1,"https://www.instagram.com/msalnacion/  https://web.archive.org/web/20200416103510/http://www.msal.gob.ar/index.php?filter_problematica=92&filter_soporte=0&palabra_clave=&option=com_ryc_contenidos"
Argentina,ARG,20200413,H3: Contact tracing,2,,"Authorities should monitor close contacts daily during 14 days, looking for signs and symptoms of the disease. https://web.archive.org/web/20200513104956/https://www.argentina.gob.ar/salud/coronavirus-COVID-19/Identificacion-y-seguimiento-de-contactos"
Argentina,ARG,20200414,H6: Facial Coverings,3,1,"""Argentina made face masks obligatory for everyone using public transport and out in public on April 14.""    Source: http://web.archive.org/web/20200907231620/https://www.aljazeera.com/news/2020/04/countries-wearing-face-masks-compulsory-200423094510867.html"
Argentina,ARG,20200417,H2: Testing policy,1,,"All (and only) suspect cases should be tested. https://web.archive.org/web/20200513105359/https://www.argentina.gob.ar/salud/coronavirus-COVID-19/laboratorio  "
Argentina,ARG,20200418,C6: Stay at home requirements,3,1,"Measures were put in place 19/03, renewed 31/03 until 12/04 and renewed 11/04 until 26/04. http://servicios.infoleg.gob.ar/infolegInternet/anexos/335000-339999/335741/norma.htm ***///*** https://www.boletinoficial.gob.ar/suplementos/2020033101NS.pdf ***///*** https://www.boletinoficial.gob.ar/detalleAviso/primera/227694/20200411"
Argentina,ARG,20200418,H1: Public information campaigns,2,1,"https://web.archive.org/web/20200425102857/http://www.msal.gob.ar/index.php?option=com_ryc_contenidos  https://www.instagram.com/msalnacion/"
Argentina,ARG,20200426,C2: Workplace closing,3,0,"26 April  National Government extends provisions of Decree 297/2020 until May 10, 2020. With the new decree, provinces are allowed to “flexibilize” the isolation and gradually open sectors of the economy if they consider it is necessary to do it. The Governors of the Provinces may decide exceptions to said isolation and to the prohibition of circulating personnel. affected to certain activities and services in certain Departments and Parties of its jurisdiction, whenever the requirements demanded by the national sanitary authority are verified.     Source: https://web.archive.org/web/20200620154857/https://www.boletinoficial.gob.ar/detalleAviso/primera/228261/20200426"
Argentina,ARG,20200427,C6: Stay at home requirements,2,1,"National Government extends social, preventive and compulsory isolation until May 10, 2020. IMPORTANT!!! With this new decree, provinces are allowed to make more flexible the isolation and gradually open sectors of the economy if they consider it is necessary to do it. Responses from provinces have been different, ranging from very strict (Córdoba) to more permissive (Buenos Aires). Source: http://web.archive.org/web/20200429181240/https://www.boletinoficial.gob.ar/detalleAviso/primera/"
Argentina,ARG,20200427,C7: Restrictions on internal movement,1,1,"National Government extends social, preventive and compulsory isolation until May 10, 2020. IMPORTANT!!! With this new decree, provinces are allowed to “flexibilize” the isolation and gradually open sectors of the economy if they consider it is necessary to do it. Responses from provinces have been different, ranging from very strict (Córdoba) to more permissive (Buenos Aires). Source: http://web.archive.org/web/20200429181240/https://www.boletinoficial.gob.ar/detalleAviso/primera/"
Argentina,ARG,20200429,E1: Income support,1,1,"Vulnerable families with a child will receive a bonus of 4000 pesos; and those who have two or more children, will receive an extraordinary reinforcement of 6000 pesos. The objective is to guarantee access to food for the most vulnerable sectors in the context of the emergency caused by Covid-19."
Argentina,ARG,20200430,E2: Debt/contract relief,2,,"In order to mitigate the impact that the new coronavirus pandemic generates in the country in economic matters and to guarantee essential services for the development of daily life in the context of the health emergency, the National Government has arranged to extend until 30 June including the suspension of the application of fines and the closing and disabling of bank accounts due to the rejection of checks due to lack of funds. It also extends until May 31 the obligation on the part of the companies that provide mobile telephony or the Internet to guarantee a reduced service that guarantees connectivity, as established by the regulations (prohibition of outage).  /web/20200507032129/https://www.boletinoficial.gob.ar/detalleAviso/primera/228496/20200501"
Argentina,ARG,20200508,E1: Income support,1,1,"Vulnerable families with a child receive a bonus of 4000 pesos. Those who have two or more children receive an extraordinary reinforcement of 6000 pesos. This cash transfer is given through ""Tarjeta Alimentar"" to buy food and basic supplies. Source: https://web.archive.org/web/20200528195625/https://www.cronista.com/economiapolitica/Nacion-prepara-ayuda-para-las-villas-donde-se-disparen-los-casos-20200525-0047.html"
Argentina,ARG,20200508,E2: Debt/contract relief,2,,"Rent fees will remain the same as they were in March 2020 until September and tenants cannot be evicted. People can buy various articles in 12 interests-free instalments . https://web.archive.org/web/20200507034142/https://www.argentina.gob.ar/produccion/medidas-pymes-covid"
Argentina,ARG,20200510,C2: Workplace closing,3,0,"10 May  National Government has extended the isolation period until May 24th, and this includes the workplace closure, due to epidemiological differences each province can now make measures more or less flexible according to its particular situation. Social distancing and the use of masks are still required.    Source:   https://web.archive.org/web/20200621032654/http://servicios.infoleg.gob.ar/infolegInternet/anexos/335000-339999/337252/norma.htm    Fernández announced the relaxation of lockdown measures in most of Argentina except the densely populated Buenos Aires metropolitan area, where 86% of cases are concentrated.    Source: https://web.archive.org/web/20200619033401/https://www.theguardian.com/world/2020/may/10/argentina-covid19-brazil-response-bolsonaro-fernandez"
Argentina,ARG,20200511,C1: School closing,3,1,"https://web.archive.org/web/20200513075309/https://www.argentina.gob.ar/coronavirus/aislamiento  https://web.archive.org/web/20200513093448/https://en.unesco.org/covid19/educationresponse"
Argentina,ARG,20200511,C3: Cancel public events,2,1,"https://web.archive.org/web/20200513075309/https://www.argentina.gob.ar/coronavirus/aislamiento"
Argentina,ARG,20200511,C4: Restrictions on gatherings,4,1,"See Art 10.2 https://web.archive.org/web/20200513094726/https://www.boletinoficial.gob.ar/detalleAviso/primera/228958/20200511"
Argentina,ARG,20200511,C5: Close public transport,2,1,"The decree posted as first reference requires closing international and intercity public transport (See Art.2). It has been extended until May 24th.   https://web.archive.org/web/20200412090106/https://www.boletinoficial.gob.ar/detalleAviso/primera/227132/20200325  https://web.archive.org/web/20200513075309/https://www.argentina.gob.ar/coronavirus/aislamiento  Public transport in most big cities is available, but citizens are discouraged from using it. Buses usually work with weekend or holiday frequency, have been modified to comply with social distancing measures and require passengers to wear face masks.   https://twitter.com/mindetransportehttps://web.archive.org/web/20200513103702/  http://www.prensa.mendoza.gov.ar/transporte-publico-actualizacion-de-servicios/  https://web.archive.org/web/20200513103713/https://www.rosario.gob.ar/web/servicios/movilidad/coronavirus-transporte-y-servicios-publicoshttps://web.archive.org/web/20200513103751/  https://www.cordoba.gob.ar/2020/04/20/coronavirus-nuevas-medidas-para-garantizar-el-distanciamiento-fisico-en-el-transporte-urbano/"
Argentina,ARG,20200511,C6: Stay at home requirements,2,1,"https://web.archive.org/web/20200513075309/https://www.argentina.gob.ar/coronavirus/aislamiento  "
Argentina,ARG,20200511,C7: Restrictions on internal movement,2,1,"The National Government does not permit internal movement. However, there are a number of exceptions, like workers and people who had to spend the isolation period in provinces other than where they live, who can circulate with a special permit that can be dowloaded from the Government's official website.   https://web.archive.org/web/20200513075309/https://www.argentina.gob.ar/coronavirus/aislamiento  https://web.archive.org/web/20200513084030/https://www.argentina.gob.ar/noticias/ya-se-puede-gestionar-en-cada-provincia-el-certificado-de-traslado-excepcional-0  https://web.archive.org/web/20200513084026/https://www.argentina.gob.ar/circular/dni"
Argentina,ARG,20200511,C8: International travel controls,4,,"See Art. 15. https://web.archive.org/web/20200513094726/https://www.boletinoficial.gob.ar/detalleAviso/primera/228958/20200511"
Argentina,ARG,20200511,H2: Testing policy,1,,"Only suspect cases will be tested(no changes), but there has been a change in the suspect case definition (more inclusive). https://web.archive.org/web/20200513105449/https://www.argentina.gob.ar/salud/coronavirus-COVID-19/definicion-de-caso"
Argentina,ARG,20200512,C2: Workplace closing,2,0,"12 May  Buenos Aires city authorities began allowing some ""non-essential"" shops and businesses to reopen on Tuesday 12 May, easing coronavirus restrictions in place in the Argentine capital since March 20. The government of President Alberto Fernandez has said a nationwide quarantine will remain in place until May 24, but it allowed businesses to reopen in some areas of the country as part of a gradual resumption of economic activity. Bookstores, florists and perfumeries reopened in Buenos Aires. Stores were required to limit the number of customers and allocate entry according to identity card numbers. Cafes and restaurants are also allowed to reopen from Tuesday, but only for take-away orders.  http://archive.vn/lMI6M  "
Argentina,ARG,20200514,C1: School closing,3,1,"Source: https://web.archive.org/web/20200513093448/https://en.unesco.org/covid19/educationresponse"
Argentina,ARG,20200514,C3: Cancel public events,2,1,"Source: https://web.archive.org/web/20200513075309/https://www.argentina.gob.ar/coronavirus/aislamiento"
Argentina,ARG,20200514,C4: Restrictions on gatherings,4,1,"The curfew has been extended until June 7. Source: https://web.archive.org/web/20200528154346/https://www.boletinoficial.gob.ar/detalleAviso/primera/229716/20200525"
Argentina,ARG,20200514,C5: Close public transport,2,1,"There's public transport within the City of Buenos Aires and the Metropolitan area, but the implementation of more severe restrictions are been evaluated. Intercity trains and buses throughout the country are closed. Source: https://web.archive.org/web/20200528183249/https://www.pagina12.com.ar/267272-coronavirus-las-nuevas-restricciones-que-impondran-para-viaj"
Argentina,ARG,20200514,C6: Stay at home requirements,2,1,"The curfew has been extended until June 7. Stay at home is required with some exceptions. Source: https://web.archive.org/web/20200528154346/https://www.boletinoficial.gob.ar/detalleAviso/primera/229716/20200525"
Argentina,ARG,20200514,C7: Restrictions on internal movement,2,1,"The curfew has been extended until June 7. Transport between cities is not allowed. Source: https://web.archive.org/web/20200528154346/https://www.boletinoficial.gob.ar/detalleAviso/primera/229716/20200525"
Argentina,ARG,20200514,C8: International travel controls,4,,"Borders (""fronteras"") will remain closed until June 7. Source: https://web.archive.org/web/20200528154346/https://www.boletinoficial.gob.ar/detalleAviso/primera/229716/20200525"
Argentina,ARG,20200514,E2: Debt/contract relief,2,,"Source: https://web.archive.org/web/20200507032129/https://www.boletinoficial.gob.ar/detalleAviso/primera/228496/20200501"
Argentina,ARG,20200514,H1: Public information campaigns,2,1,"Source: https://web.archive.org/web/20200528072642/https://www.argentina.gob.ar/salud/coronavirus-COVID-19"
Argentina,ARG,20200605,C2: Workplace closing,2,0,"5th June    The Government of Argentina has announced that the national quarantine that began on March 20 has been extended through June 28, with greater restrictions in the greater Buenos Aires area under DNU 297/2020. President Alberto Fernández on Thursday night announced the extension of Argentina's mandatory lockdown in selected large cities, especially Buenos Aires and its surroundings, until June 28.     Source: https://web.archive.org/web/20200611100938/https://www.batimes.com.ar/news/argentina/lockdown-extended-until-june-28-with-two-types-of-quarantine.phtml    Regional variations remain in place: “Considering that the epidemiological situation is not homogeneous within the national territory, the administration of isolation will adopt a modality that contemplates the reality of the various jurisdictions of the country.  Provincial and local authorities may request exceptions to isolation from personnel affected by certain activities and services” Source:   https://web.archive.org/web/20200620154857/https://www.boletinoficial.gob.ar/detalleAviso/primera/228261/20200426    https://web.archive.org/web/20200622180219/https://ar.usembassy.gov/covid-19/    https://web.archive.org/web/20200614231327/https://www.argentina.gob.ar/coronavirus/medidas-gobierno  "
Argentina,ARG,20200605,C3: Cancel public events,2,1,"5 June- 28 June  Quarantine extended to 28th June, restrictions can ease in some places.  Fernández said the lockdown had been a success to date, highlighting that in 18 of Argentina’s 24 regions (23 provinces and Buenos Aires City)  ""there is no community circulation"" of the virus. Measures in these areas would become increasingly flexible with many businesses and activities allowed to restart.  Only massive gatherings, sporting or musical shows and events, and any type of grouping would be banned, he added.  http://archive.vn/70lKQ    https://web.archive.org/web/20200622180219/https://ar.usembassy.gov/covid-19/    https://web.archive.org/web/20200614231327/https://www.argentina.gob.ar/coronavirus/medidas-gobierno  "
Argentina,ARG,20200605,C4: Restrictions on gatherings,4,1,"5 June- 28 June  Quarantine extended to 28th June, restrictions can ease in some places.  Fernández said the lockdown had been a success to date, highlighting that in 18 of Argentina’s 24 regions (23 provinces and Buenos Aires City)  ""there is no community circulation"" of the virus. Measures in these areas would become increasingly flexible with many businesses and activities allowed to restart.  Only massive gatherings, sporting or musical shows and events, and any type of grouping would be banned, he added.  http://archive.vn/70lKQ    https://web.archive.org/web/20200622180219/https://ar.usembassy.gov/covid-19/    https://web.archive.org/web/20200614231327/https://www.argentina.gob.ar/coronavirus/medidas-gobierno  "
Argentina,ARG,20200605,C6: Stay at home requirements,2,0,"5th June    The Government of Argentina has announced that the national quarantine that began on March 20 has been extended through June 28, with greater restrictions in the greater Buenos Aires area under DNU 297/2020. President Alberto Fernández on Thursday night announced the extension of Argentina's mandatory lockdown in selected large cities, especially Buenos Aires and its surroundings, until June 28.     Source: https://web.archive.org/web/20200611100938/https://www.batimes.com.ar/news/argentina/lockdown-extended-until-june-28-with-two-types-of-quarantine.phtml    Regional variations remain in place: “Considering that the epidemiological situation is not homogeneous within the national territory, the administration of isolation will adopt a modality that contemplates the reality of the various jurisdictions of the country.  Provincial and local authorities may request exceptions to isolation from personnel affected by certain activities and services” Source:   https://web.archive.org/web/20200620154857/https://www.boletinoficial.gob.ar/detalleAviso/primera/228261/20200426    https://web.archive.org/web/20200622180219/https://ar.usembassy.gov/covid-19/    https://web.archive.org/web/20200614231327/https://www.argentina.gob.ar/coronavirus/medidas-gobierno  "
Argentina,ARG,20200619,H8: Protection of elderly people,2,1,"""Likewise, specific protocols are designed, disseminated and implemented for Long-Term Residences and for the care and social life of the elderly in particular, in absolute observance of the protocols of the Ministry of Health.    In addition, biosafety supplies are distributed , instructive for their correct use, training is provided for essential direct assistance personnel, gerontological workshops are developed weekly via zoom with the dissertation of experts from around the world who provide us with their knowledge and experiences by convening by meeting a number of 500 on-line attendees from all over the country and the world, between officials and authorities interested in the subject to direct assistance health personnel in residences.    All DINAPAM lines have been adapted to the new situation. Institutional Strengthening, designs architectural devices and furniture that make the spaces in residences and institutions livable and safe, complying with all the precautions and protocols. The area of ??training for caregivers, thinks and implements theoretical content courses remotely with face-to-face practices in residences.""    https://web.archive.org/web/20201221214558/https://www.argentina.gob.ar/noticias/tomas-pessacq-mejoramos-las-condiciones-estructurales-de-cuidado-las-personas-mayores  "
Argentina,ARG,20200625,C1: School closing,3,1,"The Government of Argentina has announced that the national quarantine that began on March 20 has been extended through June 28, with greater restrictions in the greater Buenos Aires area under DNU 297/2020. Schools remain closed with work in place to make plans for the return of face to face lessons when the epidemiological situation allows (25th June).    Quarantine extended: https://web.archive.org/web/20200622180219/https://ar.usembassy.gov/covid-19/    Quarantine extended: https://web.archive.org/web/20200614231327/https://www.argentina.gob.ar/coronavirus/medidas-gobierno    Schools remain closed: http://archive.vn/JZIzE"
Argentina,ARG,20200626,C2: Workplace closing,2,0,"26th June    Announcement that from July 1 ""we're going to ask everyone to return to isolation in the greater Buenos Aires area at home and to only leave to fetch provisions for daily life,"" he said. The measure will last until July 17 with ""only essential services and some industrial zones"" remaining operational.       This indicates that previously non-essential businesses had been open (as indicated in the note for 12 May)    http://archive.vn/TTPpj  "
Argentina,ARG,20200627,C5: Close public transport,2,1,"27 June  Transport remains extremely restricted.  The Ministry of Transportation halted all Argentine intercity domestic buses, trains, and flights in March, and most of these services remain suspended due to the ongoing quarantine order.  In the Buenos Aires metropolitan area, passengers can only board public transportation if there is an available seat (standing room passengers are forbidden). These regulations are likely to remain in place for the duration of the quarantine order. Travelers should expect further travel disruptions with little notice.    https://web.archive.org/web/20200622180219/https://ar.usembassy.gov/covid-19/  "
Argentina,ARG,20200627,C7: Restrictions on internal movement,2,1,"27 June  Transport remains extremely restricted.  The Ministry of Transportation halted all Argentine intercity domestic buses, trains, and flights in March, and most of these services remain suspended due to the ongoing quarantine order.       The government of Argentina has implemented additional travel restrictions to limit the spread of COVID-19. Only travelers with confirmed international flight reservations may travel from the provinces to the Buenos Aires metro area 24 hours in advance of the flight, and traveling overland or by ground transportation requires information to be provided to the Government of Argentina. There are checkpoints throughout Argentina.       https://web.archive.org/web/20200622180219/https://ar.usembassy.gov/covid-19/  "
Argentina,ARG,20200627,C8: International travel controls,4,,"27 June    Argentina’s borders remain closed to foreign nationals and non-residents entering the country.  https://web.archive.org/web/20200627102118/https://www.gov.uk/foreign-travel-advice/argentina  "
Argentina,ARG,20200701,C1: School closing,3,1,"Schools will reopen in August.    https://web.archive.org/web/20200702093834/https://www.pagina12.com.ar/274431-coronavirus-y-escuelas-un-regreso-a-clases-en-agosto-con-bar  "
Argentina,ARG,20200701,C2: Workplace closing,3,0,"The Province and the City of Buenos Aires entered a new stage of the coronavirus quarantine on July 1st. Only essential activities, such as supermarkets, warehouses and drug stores, are allowed to open.  https://web.archive.org/web/20200702135639/https://www.clarin.com/ciudades/nueva-cuarentena-tenes-saber-restricciones-9-preguntas_0_z6yX4gsbP.html"
Argentina,ARG,20200701,C5: Close public transport,2,1,"In the Metropolitan Area of Buenos Aires, only workers from essential acitivities are allowed to use the public transport.     https://web.archive.org/web/20200702135639/https://www.clarin.com/ciudades/nueva-cuarentena-tenes-saber-restricciones-9-preguntas_0_z6yX4gsbP.html"
Argentina,ARG,20200701,C6: Stay at home requirements,2,0,"Workers in activities called essential or excepted by the National Government, who have to move around the Metropolitan Area of Buenos Aires (AMBA), must have a circulation permit to do so. Going out to exercise is also forbidden.     https://web.archive.org/web/20200702135639/https://www.clarin.com/ciudades/nueva-cuarentena-tenes-saber-restricciones-9-preguntas_0_z6yX4gsbP.html"
Argentina,ARG,20200717,C1: School closing,3,1,"A new lockdown phase has been announced by the National Government, aiming to start a progressive rollback of the most stringent measures. This new phase has started on 17 July and is expected to go until 2 August.  https://web.archive.org/web/20200730155338/https://www.casarosada.gob.ar/slider-principal/46976-coronavirus-el-presidente-anuncio-una-apertura-escalonada-de-las-actividades-entre-el-18-de-julio-y-el-2-de-agosto"
